time,temperature_2m (Â°C),relative_humidity_2m (%),precipitation (mm),surface_pressure (hPa),soil_temperature_0_to_7cm (Â°C),wind_speed_10m (km/h),wind_direction_10m (Â°),wind_gusts_10m (km/h),dew_point_2m (Â°C),apparent_temperature (Â°C),cloud_cover (%),pressure_msl (hPa)
2015-01-01T00:00,-2.8,77,0,1026.5,1.5,8.2,319,16.6,-6.3,-6.9,8,1032.6
2015-01-01T06:00,-3.6,75,0,1027.9,1.1,13.8,290,30.6,-7.4,-8.6,17,1034
2015-01-01T12:00,2.1,69,0,1028.9,1.7,15.7,323,28.8,-2.9,-2.7,40,1034.9
2015-01-01T18:00,1.8,75,0,1028.7,2.7,9.7,297,16.6,-2.3,-2.1,58,1034.7
2015-01-02T00:00,-2.4,76,0,1028.4,1.9,9.7,272,16.6,-6,-6.7,4,1034.5
2015-01-02T06:00,-3.3,77,0,1026.9,1.3,10.1,253,11.2,-6.8,-7.7,6,1033
2015-01-02T12:00,9.9,54,0,1026.3,4,3.9,304,10.8,1,7.4,86,1032.1
2015-01-02T18:00,3.7,89,0,1022.9,3.5,3.1,201,8.3,2,1.5,98,1028.8
2015-01-03T00:00,0.7,90,0,1022.2,2.8,8.2,218,9.7,-0.8,-2.7,78,1028.2
2015-01-03T06:00,-1.7,91,0,1020.5,2.2,8.2,232,10.4,-3,-5.4,75,1026.6
2015-01-03T12:00,10.4,72,0,1021.3,5.7,3.6,307,11.2,5.6,8.8,95,1027.1
2015-01-03T18:00,4.7,94,0,1015.2,4.7,6.5,174,11.2,3.7,2.3,93,1021.1
2015-01-04T00:00,5.5,90,0,1012.1,4.2,7.1,246,10.8,4,3.1,10,1017.9
2015-01-04T06:00,5.8,90,0,1011.3,3.9,9.2,11,13,4.3,3.1,11,1017.1
2015-01-04T12:00,11.5,72,0,1015.2,7.2,8.2,311,16.9,6.6,9.4,0,1020.9
2015-01-04T18:00,6.2,96,0,1017.9,5.8,15.3,43,10.1,5.5,2.9,51,1023.8
2015-01-05T00:00,1.4,90,0.5,1021.6,3,7.9,321,9,0,-1.9,2,1027.6
2015-01-05T06:00,-1.7,85,0,1023.4,1.2,7.4,241,13.7,-3.9,-5.4,1,1029.5
2015-01-05T12:00,9.9,42,0,1024.1,5.5,8.7,218,15.5,-2.4,6.2,0,1029.9
2015-01-05T18:00,4.2,57,0,1020,3.9,9.4,238,12.6,-3.6,0.2,0,1025.9
2015-01-06T00:00,2.5,68,0,1017.6,2.4,8.9,249,14.4,-2.9,-1.3,0,1023.5
2015-01-06T06:00,-0.6,86,0,1016.6,1.1,4.6,225,10.1,-2.7,-3.8,0,1022.6
2015-01-06T12:00,10,68,0,1018.8,4.9,3.9,34,14,4.3,8.1,0,1024.6
2015-01-06T18:00,7.7,79,0,1018.9,4.3,2.9,360,10.1,4.3,6,0,1024.7
2015-01-07T00:00,-0.5,96,0,1021.1,1.4,5.5,247,7.9,-1,-3.5,15,1027.1
2015-01-07T06:00,0.1,98,0,1022.1,1.2,7.8,257,10.4,-0.2,-3.1,81,1028.1
2015-01-07T12:00,7.8,87,0,1023.8,5.5,3.7,299,13.3,5.8,6.2,87,1029.7
2015-01-07T18:00,6.2,96,0,1024.1,5.3,2.9,97,3.6,5.6,4.7,46,1030
2015-01-08T00:00,4,97,0,1025.8,3.3,2.6,254,3.6,3.5,2.1,80,1031.8
2015-01-08T06:00,3.1,98,0,1026.2,3.3,5.4,270,6.5,2.8,0.7,98,1032.2
2015-01-08T12:00,10.1,77,0,1027.5,7.6,0.4,360,9,6.2,9.1,34,1033.3
2015-01-08T18:00,6.8,94,0,1026.4,6.3,7.7,131,11.5,5.8,4.6,11,1032.3
2015-01-09T00:00,5.1,94,0,1025.9,4.4,7.6,239,13.3,4.2,2.6,41,1031.8
2015-01-09T06:00,4.4,97,0,1026.1,4.1,7.1,225,9.4,3.9,1.9,38,1032
2015-01-09T12:00,10.8,78,0,1026.2,8.4,1.6,297,9.4,7.1,9.9,100,1032
2015-01-09T18:00,7.7,88,0,1021.7,6.4,5.9,142,9.4,5.9,5.9,95,1027.6
2015-01-10T00:00,7.2,84,0,1017,5.4,5.1,51,11.5,4.8,5.2,98,1022.8
2015-01-10T06:00,5.5,91,0,1014,4.3,4.8,13,8.3,4.2,3.5,100,1019.9
2015-01-10T12:00,12.3,71,0,1016.4,8.8,4.6,45,11.9,7.1,10.9,99,1022.1
2015-01-10T18:00,9,89,0,1012.1,7.9,4.9,163,10.4,7.3,7.6,13,1017.9
2015-01-11T00:00,7.4,86,0,1012.2,6.3,9.3,257,9.7,5.3,4.9,80,1018
2015-01-11T06:00,5.2,94,0,1009,5,3,76,5.4,4.2,3.4,17,1014.8
2015-01-11T12:00,13.1,73,0,1004.7,9.7,12.6,243,17.3,8.3,10.8,5,1010.3
2015-01-11T18:00,9.7,90,0.3,1010.3,9.1,16.5,328,37.1,8.1,6.8,23,1016
2015-01-12T00:00,4.4,58,0,1018.6,5,12.2,270,15.8,-3.2,0.1,16,1024.5
2015-01-12T06:00,1.1,50,0,1021.2,2.3,8.5,242,14,-8.2,-3.2,11,1027.2
2015-01-12T12:00,11.9,44,0,1022.9,8.4,5.2,214,10.8,0,9.1,25,1028.7
2015-01-12T18:00,6.2,63,0,1022,5.7,9.8,197,9.7,-0.3,2.6,4,1027.9
2015-01-13T00:00,2.5,60,0,1023,2.6,9.6,214,15.1,-4.4,-1.6,0,1029
2015-01-13T06:00,2.2,70,0,1022.5,2.3,8.9,238,13,-2.8,-1.6,0,1028.5
2015-01-13T12:00,10.3,63,0,1023,7.8,1.8,259,11.5,3.5,8.5,6,1028.8
2015-01-13T18:00,5.9,87,0,1019.5,5.7,5.9,142,9.4,3.9,3.6,61,1025.4
2015-01-14T00:00,4.1,89,0,1018.3,4,7.7,217,11.2,2.5,1.3,99,1024.2
2015-01-14T06:00,4.2,93,0,1016,4,6.9,223,10.1,3.1,1.6,14,1021.9
2015-01-14T12:00,11.3,74,0,1015.2,8.7,1.8,259,9.7,6.7,10.2,11,1020.9
2015-01-14T18:00,10.6,72,0,1013.6,8.4,10.7,237,15.8,5.7,8,18,1019.3
2015-01-15T00:00,7.5,91,0,1015,6.8,7.5,235,14,6,5.4,83,1020.8
2015-01-15T06:00,4.6,97,0,1015.1,4.8,3.1,144,10.4,4.1,2.7,8,1021
2015-01-15T12:00,11.9,75,0,1015.9,9.4,3.4,212,15.8,7.7,10.9,84,1021.6
2015-01-15T18:00,9.1,76,0,1013.6,8.1,6.6,139,14,5,7,9,1019.4
2015-01-16T00:00,5.9,92,0,1014.1,5.9,9.7,195,13.7,4.7,3.3,4,1019.9
2015-01-16T06:00,6.1,92,0,1012,5.8,7.8,158,13.7,4.9,3.8,3,1017.8
2015-01-16T12:00,13.2,63,0,1011.9,10.3,8.4,133,18,6.4,11.1,48,1017.6
2015-01-16T18:00,11.3,76,0.2,1009.6,9.5,13.4,144,24.1,7.3,8.7,83,1015.3
2015-01-17T00:00,10.9,73,0,1007.5,8.7,15.2,166,25.6,6.1,7.7,97,1013.2
